scan_num,scan_time,type,bpi,bpi_mz,tic,num_peaks,num_deisotoped,info
1,0.0072,1,172779,403.16449,10041973,143,17,FTMS - p ESI Full ms [400.00-2000.00]
2,0.0145,1,205949,403.16436,11420081,135,15,FTMS - p ESI Full ms [400.00-2000.00]
3,0.0329,1,212129,403.1645,11576106,130,17,FTMS - p ESI Full ms [400.00-2000.00]
4,0.0513,1,198910,403.16439,11577147,134,17,FTMS - p ESI Full ms [400.00-2000.00]
5,0.0696,1,210035,403.16437,11752967,137,19,FTMS - p ESI Full ms [400.00-2000.00]
6,0.0878,1,206392,403.1646,11929117,137,18,FTMS - p ESI Full ms [400.00-2000.00]
7,0.106,1,184870,403.16456,10982149,131,23,FTMS - p ESI Full ms [400.00-2000.00]
8,0.1247,1,209564,403.1645,11684151,132,19,FTMS - p ESI Full ms [400.00-2000.00]
9,0.1429,1,207707,403.16448,11973631,120,17,FTMS - p ESI Full ms [400.00-2000.00]
10,0.1611,1,203854,403.16444,11958988,128,15,FTMS - p ESI Full ms [400.00-2000.00]
11,0.1793,1,198055,403.16453,11402535,132,20,FTMS - p ESI Full ms [400.00-2000.00]
12,0.1977,1,211475,403.16444,12273597,138,19,FTMS - p ESI Full ms [400.00-2000.00]
13,0.2158,1,207779,403.16442,11568944,125,14,FTMS - p ESI Full ms [400.00-2000.00]
14,0.2341,1,215764,403.16442,12233888,135,17,FTMS - p ESI Full ms [400.00-2000.00]
15,0.2522,1,208596,403.16467,11651155,135,17,FTMS - p ESI Full ms [400.00-2000.00]
16,0.2705,1,192365,403.16453,11582967,140,15,FTMS - p ESI Full ms [400.00-2000.00]
17,0.2889,1,202784,403.16468,11601090,135,22,FTMS - p ESI Full ms [400.00-2000.00]
18,0.3074,1,197677,403.16458,11519994,136,17,FTMS - p ESI Full ms [400.00-2000.00]
19,0.3257,1,214317,403.16464,11960690,128,19,FTMS - p ESI Full ms [400.00-2000.00]
20,0.3438,1,209542,403.16463,11741926,137,17,FTMS - p ESI Full ms [400.00-2000.00]
21,0.3621,1,187850,403.16474,11071732,137,20,FTMS - p ESI Full ms [400.00-2000.00]
22,0.3807,1,198896,403.16445,12036473,139,20,FTMS - p ESI Full ms [400.00-2000.00]
23,0.3989,1,212458,403.16459,12141167,128,16,FTMS - p ESI Full ms [400.00-2000.00]
24,0.417,1,207046,403.16463,11610425,133,16,FTMS - p ESI Full ms [400.00-2000.00]
25,0.4353,1,200306,403.16474,11567706,132,16,FTMS - p ESI Full ms [400.00-2000.00]
26,0.4539,1,229419,403.16425,12542877,132,18,FTMS - p ESI Full ms [400.00-2000.00]
27,0.4717,1,190540,403.16466,11254481,148,20,FTMS - p ESI Full ms [400.00-2000.00]
28,0.4906,1,200640,403.16474,11720191,140,18,FTMS - p ESI Full ms [400.00-2000.00]
29,0.509,1,221627,403.16443,11816811,125,16,FTMS - p ESI Full ms [400.00-2000.00]
30,0.5271,1,194126,403.16461,11635854,142,20,FTMS - p ESI Full ms [400.00-2000.00]
31,0.5455,1,203030,403.16458,11525835,137,14,FTMS - p ESI Full ms [400.00-2000.00]
32,0.5639,1,202700,403.16463,11606596,134,16,FTMS - p ESI Full ms [400.00-2000.00]
33,0.5822,1,197449,403.16456,11351844,132,19,FTMS - p ESI Full ms [400.00-2000.00]
34,0.6007,1,215192,403.16455,11895304,136,14,FTMS - p ESI Full ms [400.00-2000.00]
35,0.619,1,198610,403.16466,11487157,139,17,FTMS - p ESI Full ms [400.00-2000.00]
36,0.6376,1,191322,403.1646,11326607,138,17,FTMS - p ESI Full ms [400.00-2000.00]
37,0.6561,1,196752,403.16476,11344033,140,19,FTMS - p ESI Full ms [400.00-2000.00]
38,0.6747,1,205637,403.1646,11595198,141,21,FTMS - p ESI Full ms [400.00-2000.00]
39,0.6931,1,202285,403.16453,11696159,144,18,FTMS - p ESI Full ms [400.00-2000.00]
40,0.7116,1,205957,403.16452,11790555,145,20,FTMS - p ESI Full ms [400.00-2000.00]
41,0.73,1,211069,403.16458,12391408,135,19,FTMS - p ESI Full ms [400.00-2000.00]
42,0.748,1,202385,403.16462,11342763,130,18,FTMS - p ESI Full ms [400.00-2000.00]
43,0.7664,1,199498,403.16513,11758310,139,18,FTMS - p ESI Full ms [400.00-2000.00]
44,0.7849,1,217551,403.16452,12053746,128,18,FTMS - p ESI Full ms [400.00-2000.00]
45,0.8029,1,187978,403.16481,11161047,136,19,FTMS - p ESI Full ms [400.00-2000.00]
46,0.8217,1,212155,403.16458,11740271,135,19,FTMS - p ESI Full ms [400.00-2000.00]
47,0.8399,1,212696,403.16472,11961193,129,17,FTMS - p ESI Full ms [400.00-2000.00]
48,0.8582,1,197201,403.16474,11633801,141,18,FTMS - p ESI Full ms [400.00-2000.00]
49,0.8767,1,212245,403.16455,12169132,129,16,FTMS - p ESI Full ms [400.00-2000.00]
50,0.8948,1,214903,403.16456,12166685,143,13,FTMS - p ESI Full ms [400.00-2000.00]
51,0.9131,1,198240,403.16459,11394083,139,16,FTMS - p ESI Full ms [400.00-2000.00]
52,0.9315,1,196154,403.16463,11265233,142,17,FTMS - p ESI Full ms [400.00-2000.00]
53,0.9501,1,197308,403.16461,11391963,129,18,FTMS - p ESI Full ms [400.00-2000.00]
54,0.9686,1,197663,403.16462,11362489,142,19,FTMS - p ESI Full ms [400.00-2000.00]
55,0.9872,1,211875,403.16474,11970923,147,19,FTMS - p ESI Full ms [400.00-2000.00]
56,1.0055,1,208083,403.16452,11830524,139,22,FTMS - p ESI Full ms [400.00-2000.00]
57,1.0239,1,202124,403.16477,11475382,134,20,FTMS - p ESI Full ms [400.00-2000.00]
58,1.0424,1,208058,403.1646,11687326,130,15,FTMS - p ESI Full ms [400.00-2000.00]
59,1.0606,1,205168,403.16462,11791571,136,17,FTMS - p ESI Full ms [400.00-2000.00]
60,1.0791,1,210352,403.16465,11938141,141,15,FTMS - p ESI Full ms [400.00-2000.00]
