"Theoretical.MW";"Structure0";"Structure";"unsatUA";"GlcA";"GlcN";"Ac";"SO3";"anhydro";"Adductive";"Man";"dp";"isotopic.peak"
357.12711;"[0,1,1,0,0,1,]-[1]";"[1,1,0,0,1]";0;1;1;0;0;0;1;1;2;1
420.05737;"[0,1,1,0,1,1,]-[0]";"[1,1,0,1,1]";0;1;1;0;1;0;0;1;2;1
437.08392;"[0,1,1,0,1,1,]-[1]";"[1,1,0,1,1]";0;1;1;0;1;0;1;1;2;1
454.11047;"[0,1,1,0,1,1,]-[2]";"[1,1,0,1,1]";0;1;1;0;1;0;2;1;2;1
500.01418;"[0,1,1,0,2,1,]-[0]";"[1,1,0,2,1]";0;1;1;0;2;0;0;1;2;1
517.04073;"[0,1,1,0,2,1,]-[1]";"[1,1,0,2,1]";0;1;1;0;2;0;1;1;2;1
534.06728;"[0,1,1,0,2,1,]-[2]";"[1,1,0,2,1]";0;1;1;0;2;0;2;1;2;1
551.09383;"[0,1,1,0,2,1,]-[3]";"[1,1,0,2,1]";0;1;1;0;2;0;3;1;2;1
579.97099;"[0,1,1,0,3,1,]-[0]";"[1,1,0,3,1]";0;1;1;0;3;0;0;1;2;1
596.99754;"[0,1,1,0,3,1,]-[1]";"[1,1,0,3,1]";0;1;1;0;3;0;1;1;2;1
614.02409;"[0,1,1,0,3,1,]-[2]";"[1,1,0,3,1]";0;1;1;0;3;0;2;1;2;1
631.05064;"[0,1,1,0,3,1,]-[3]";"[1,1,0,3,1]";0;1;1;0;3;0;3;1;2;1
648.07719;"[0,1,1,0,3,1,]-[4]";"[1,1,0,3,1]";0;1;1;0;3;0;4;1;2;1
659.9278;"[0,1,1,0,4,1,]-[0]";"[1,1,0,4,1]";0;1;1;0;4;0;0;1;2;1
676.95435;"[0,1,1,0,4,1,]-[1]";"[1,1,0,4,1]";0;1;1;0;4;0;1;1;2;1
693.9809;"[0,1,1,0,4,1,]-[2]";"[1,1,0,4,1]";0;1;1;0;4;0;2;1;2;1
