"Theoretical.MW";"Structure0";"Structure";"unsatUA";"GlcA";"GlcN";"Ac";"SO3";"anhydro";"Adductive";"Man";"dp";"isotopic.peak"
420.05737;"[0,1,1,0,1,1,]-[0]";"[1,1,0,1,1]";0;1;1;0;1;0;0;1;2;1
500.01418;"[0,1,1,0,2,1,]-[0]";"[1,1,0,2,1]";0;1;1;0;2;0;0;1;2;1
579.97099;"[0,1,1,0,3,1,]-[0]";"[1,1,0,3,1]";0;1;1;0;3;0;0;1;2;1
659.9278;"[0,1,1,0,4,1,]-[0]";"[1,1,0,4,1]";0;1;1;0;4;0;0;1;2;1
382.11112;"[0,1,1,1,0,1,]-[0]";"[1,1,1,0,1]";0;1;1;1;0;0;0;1;2;1
462.06793;"[0,1,1,1,1,1,]-[0]";"[1,1,1,1,1]";0;1;1;1;1;0;0;1;2;1
542.02474;"[0,1,1,1,2,1,]-[0]";"[1,1,1,2,1]";0;1;1;1;2;0;0;1;2;1
621.98155;"[0,1,1,1,3,1,]-[0]";"[1,1,1,3,1]";0;1;1;1;3;0;0;1;2;1
424.12168;"[0,1,1,2,0,1,]-[0]";"[1,1,2,0,1]";0;1;1;2;0;0;0;1;2;1
504.07849;"[0,1,1,2,1,1,]-[0]";"[1,1,2,1,1]";0;1;1;2;1;0;0;1;2;1
584.0353;"[0,1,1,2,2,1,]-[0]";"[1,1,2,2,1]";0;1;1;2;2;0;0;1;2;1
466.13224;"[0,1,1,3,0,1,]-[0]";"[1,1,3,0,1]";0;1;1;3;0;0;0;1;2;1
546.08905;"[0,1,1,3,1,1,]-[0]";"[1,1,3,1,1]";0;1;1;3;1;0;0;1;2;1
501.16937;"[0,1,2,0,0,1,]-[0]";"[1,2,0,0,1]";0;1;2;0;0;0;0;1;3;1
581.12618;"[0,1,2,0,1,1,]-[0]";"[1,2,0,1,1]";0;1;2;0;1;0;0;1;3;1
661.08299;"[0,1,2,0,2,1,]-[0]";"[1,2,0,2,1]";0;1;2;0;2;0;0;1;3;1
741.0398;"[0,1,2,0,3,1,]-[0]";"[1,2,0,3,1]";0;1;2;0;3;0;0;1;3;1
820.99661;"[0,1,2,0,4,1,]-[0]";"[1,2,0,4,1]";0;1;2;0;4;0;0;1;3;1
900.95342;"[0,1,2,0,5,1,]-[0]";"[1,2,0,5,1]";0;1;2;0;5;0;0;1;3;1
980.91023;"[0,1,2,0,6,1,]-[0]";"[1,2,0,6,1]";0;1;2;0;6;0;0;1;3;1
543.17993;"[0,1,2,1,0,1,]-[0]";"[1,2,1,0,1]";0;1;2;1;0;0;0;1;3;1
623.13674;"[0,1,2,1,1,1,]-[0]";"[1,2,1,1,1]";0;1;2;1;1;0;0;1;3;1
703.09355;"[0,1,2,1,2,1,]-[0]";"[1,2,1,2,1]";0;1;2;1;2;0;0;1;3;1
783.05036;"[0,1,2,1,3,1,]-[0]";"[1,2,1,3,1]";0;1;2;1;3;0;0;1;3;1
863.00717;"[0,1,2,1,4,1,]-[0]";"[1,2,1,4,1]";0;1;2;1;4;0;0;1;3;1
942.96398;"[0,1,2,1,5,1,]-[0]";"[1,2,1,5,1]";0;1;2;1;5;0;0;1;3;1
585.19049;"[0,1,2,2,0,1,]-[0]";"[1,2,2,0,1]";0;1;2;2;0;0;0;1;3;1
665.1473;"[0,1,2,2,1,1,]-[0]";"[1,2,2,1,1]";0;1;2;2;1;0;0;1;3;1
745.10411;"[0,1,2,2,2,1,]-[0]";"[1,2,2,2,1]";0;1;2;2;2;0;0;1;3;1
825.06092;"[0,1,2,2,3,1,]-[0]";"[1,2,2,3,1]";0;1;2;2;3;0;0;1;3;1
905.01773;"[0,1,2,2,4,1,]-[0]";"[1,2,2,4,1]";0;1;2;2;4;0;0;1;3;1
627.20105;"[0,1,2,3,0,1,]-[0]";"[1,2,3,0,1]";0;1;2;3;0;0;0;1;3;1
707.15786;"[0,1,2,3,1,1,]-[0]";"[1,2,3,1,1]";0;1;2;3;1;0;0;1;3;1
