"Theoretical.MW";"Structure0";"Structure";"unsatUA";"GlcA";"GlcN";"Ac";"SO3";"Adductive";"dp";"isotopic.peak";"anhydro";"Man"
355.1114607;"[0,1,1,0,0]-[0,0,0,0]";"[0,1,1,0,0]";0;1;1;0;0;0;2;1;0;0
435.0682753;"[0,1,1,0,1]-[0,0,0,0]";"[0,1,1,0,1]";0;1;1;0;1;0;2;1;0;0
515.0250899;"[0,1,1,0,2]-[0,0,0,0]";"[0,1,1,0,2]";0;1;1;0;2;0;2;1;0;0
594.9819044;"[0,1,1,0,3]-[0,0,0,0]";"[0,1,1,0,3]";0;1;1;0;3;0;2;1;0;0
674.938719;"[0,1,1,0,4]-[0,0,0,0]";"[0,1,1,0,4]";0;1;1;0;4;0;2;1;0;0
397.1220254;"[0,1,1,1,0]-[0,0,0,0]";"[0,1,1,1,0]";0;1;1;1;0;0;2;1;0;0
477.07884;"[0,1,1,1,1]-[0,0,0,0]";"[0,1,1,1,1]";0;1;1;1;1;0;2;1;0;0
557.0356546;"[0,1,1,1,2]-[0,0,0,0]";"[0,1,1,1,2]";0;1;1;1;2;0;2;1;0;0
636.9924691;"[0,1,1,1,3]-[0,0,0,0]";"[0,1,1,1,3]";0;1;1;1;3;0;2;1;0;0
516.1802686;"[0,1,2,0,0]-[0,0,0,0]";"[0,1,2,0,0]";0;1;2;0;0;0;3;1;0;0
596.1370832;"[0,1,2,0,1]-[0,0,0,0]";"[0,1,2,0,1]";0;1;2;0;1;0;3;1;0;0
676.0938978;"[0,1,2,0,2]-[0,0,0,0]";"[0,1,2,0,2]";0;1;2;0;2;0;3;1;0;0
756.0507123;"[0,1,2,0,3]-[0,0,0,0]";"[0,1,2,0,3]";0;1;2;0;3;0;3;1;0;0
836.0075269;"[0,1,2,0,4]-[0,0,0,0]";"[0,1,2,0,4]";0;1;2;0;4;0;3;1;0;0
915.9643415;"[0,1,2,0,5]-[0,0,0,0]";"[0,1,2,0,5]";0;1;2;0;5;0;3;1;0;0
995.9211561;"[0,1,2,0,6]-[0,0,0,0]";"[0,1,2,0,6]";0;1;2;0;6;0;3;1;0;0
558.1908333;"[0,1,2,1,0]-[0,0,0,0]";"[0,1,2,1,0]";0;1;2;1;0;0;3;1;0;0
638.1476479;"[0,1,2,1,1]-[0,0,0,0]";"[0,1,2,1,1]";0;1;2;1;1;0;3;1;0;0
718.1044625;"[0,1,2,1,2]-[0,0,0,0]";"[0,1,2,1,2]";0;1;2;1;2;0;3;1;0;0
798.061277;"[0,1,2,1,3]-[0,0,0,0]";"[0,1,2,1,3]";0;1;2;1;3;0;3;1;0;0
878.0180916;"[0,1,2,1,4]-[0,0,0,0]";"[0,1,2,1,4]";0;1;2;1;4;0;3;1;0;0
957.9749062;"[0,1,2,1,5]-[0,0,0,0]";"[0,1,2,1,5]";0;1;2;1;5;0;3;1;0;0
600.201398;"[0,1,2,2,0]-[0,0,0,0]";"[0,1,2,2,0]";0;1;2;2;0;0;3;1;0;0
680.1582126;"[0,1,2,2,1]-[0,0,0,0]";"[0,1,2,2,1]";0;1;2;2;1;0;3;1;0;0
