"Theoretical.MW";"Structure0";"Structure";"unsatUA";"GlcA";"GlcN";"Ac";"SO3";"anhydro";"Adductive";"Man";"dp";"isotopic.peak"
435.06827;"[0,1,1,0,1,0]-[0]";"[0,1,1,0,1,0]";0;1;1;0;1;0;0;0;2;1
515.02508;"[0,1,1,0,2,0]-[0]";"[0,1,1,0,2,0]";0;1;1;0;2;0;0;0;2;1
594.98189;"[0,1,1,0,3,0]-[0]";"[0,1,1,0,3,0]";0;1;1;0;3;0;0;0;2;1
674.9387;"[0,1,1,0,4,0]-[0]";"[0,1,1,0,4,0]";0;1;1;0;4;0;0;0;2;1
397.12202;"[0,1,1,1,0,0]-[0]";"[0,1,1,1,0,0]";0;1;1;1;0;0;0;0;2;1
477.07883;"[0,1,1,1,1,0]-[0]";"[0,1,1,1,1,0]";0;1;1;1;1;0;0;0;2;1
557.03564;"[0,1,1,1,2,0]-[0]";"[0,1,1,1,2,0]";0;1;1;1;2;0;0;0;2;1
636.99245;"[0,1,1,1,3,0]-[0]";"[0,1,1,1,3,0]";0;1;1;1;3;0;0;0;2;1
439.13258;"[0,1,1,2,0,0]-[0]";"[0,1,1,2,0,0]";0;1;1;2;0;0;0;0;2;1
519.08939;"[0,1,1,2,1,0]-[0]";"[0,1,1,2,1,0]";0;1;1;2;1;0;0;0;2;1
599.0462;"[0,1,1,2,2,0]-[0]";"[0,1,1,2,2,0]";0;1;1;2;2;0;0;0;2;1
481.14314;"[0,1,1,3,0,0]-[0]";"[0,1,1,3,0,0]";0;1;1;3;0;0;0;0;2;1
561.09995;"[0,1,1,3,1,0]-[0]";"[0,1,1,3,1,0]";0;1;1;3;1;0;0;0;2;1
516.18027;"[0,1,2,0,0,0]-[0]";"[0,1,2,0,0,0]";0;1;2;0;0;0;0;0;3;1
596.13708;"[0,1,2,0,1,0]-[0]";"[0,1,2,0,1,0]";0;1;2;0;1;0;0;0;3;1
676.09389;"[0,1,2,0,2,0]-[0]";"[0,1,2,0,2,0]";0;1;2;0;2;0;0;0;3;1
756.0507;"[0,1,2,0,3,0]-[0]";"[0,1,2,0,3,0]";0;1;2;0;3;0;0;0;3;1
836.00751;"[0,1,2,0,4,0]-[0]";"[0,1,2,0,4,0]";0;1;2;0;4;0;0;0;3;1
915.96432;"[0,1,2,0,5,0]-[0]";"[0,1,2,0,5,0]";0;1;2;0;5;0;0;0;3;1
995.92113;"[0,1,2,0,6,0]-[0]";"[0,1,2,0,6,0]";0;1;2;0;6;0;0;0;3;1
558.19083;"[0,1,2,1,0,0]-[0]";"[0,1,2,1,0,0]";0;1;2;1;0;0;0;0;3;1
638.14764;"[0,1,2,1,1,0]-[0]";"[0,1,2,1,1,0]";0;1;2;1;1;0;0;0;3;1
718.10445;"[0,1,2,1,2,0]-[0]";"[0,1,2,1,2,0]";0;1;2;1;2;0;0;0;3;1
798.06126;"[0,1,2,1,3,0]-[0]";"[0,1,2,1,3,0]";0;1;2;1;3;0;0;0;3;1
878.01807;"[0,1,2,1,4,0]-[0]";"[0,1,2,1,4,0]";0;1;2;1;4;0;0;0;3;1
957.97488;"[0,1,2,1,5,0]-[0]";"[0,1,2,1,5,0]";0;1;2;1;5;0;0;0;3;1
600.20139;"[0,1,2,2,0,0]-[0]";"[0,1,2,2,0,0]";0;1;2;2;0;0;0;0;3;1
680.1582;"[0,1,2,2,1,0]-[0]";"[0,1,2,2,1,0]";0;1;2;2;1;0;0;0;3;1
760.11501;"[0,1,2,2,2,0]-[0]";"[0,1,2,2,2,0]";0;1;2;2;2;0;0;0;3;1
840.07182;"[0,1,2,2,3,0]-[0]";"[0,1,2,2,3,0]";0;1;2;2;3;0;0;0;3;1
920.02863;"[0,1,2,2,4,0]-[0]";"[0,1,2,2,4,0]";0;1;2;2;4;0;0;0;3;1
642.21195;"[0,1,2,3,0,0]-[0]";"[0,1,2,3,0,0]";0;1;2;3;0;0;0;0;3;1
722.16876;"[0,1,2,3,1,0]-[0]";"[0,1,2,3,1,0]";0;1;2;3;1;0;0;0;3;1
802.12557;"[0,1,2,3,2,0]-[0]";"[0,1,2,3,2,0]";0;1;2;3;2;0;0;0;3;1
882.08238;"[0,1,2,3,3,0]-[0]";"[0,1,2,3,3,0]";0;1;2;3;3;0;0;0;3;1
531.14355;"[0,2,1,0,0,0]-[0]";"[0,2,1,0,0,0]";0;2;1;0;0;0;0;0;3;1
611.10036;"[0,2,1,0,1,0]-[0]";"[0,2,1,0,1,0]";0;2;1;0;1;0;0;0;3;1
691.05717;"[0,2,1,0,2,0]-[0]";"[0,2,1,0,2,0]";0;2;1;0;2;0;0;0;3;1
771.01398;"[0,2,1,0,3,0]-[0]";"[0,2,1,0,3,0]";0;2;1;0;3;0;0;0;3;1
850.97079;"[0,2,1,0,4,0]-[0]";"[0,2,1,0,4,0]";0;2;1;0;4;0;0;0;3;1
930.9276;"[0,2,1,0,5,0]-[0]";"[0,2,1,0,5,0]";0;2;1;0;5;0;0;0;3;1
573.15411;"[0,2,1,1,0,0]-[0]";"[0,2,1,1,0,0]";0;2;1;1;0;0;0;0;3;1
653.11092;"[0,2,1,1,1,0]-[0]";"[0,2,1,1,1,0]";0;2;1;1;1;0;0;0;3;1
733.06773;"[0,2,1,1,2,0]-[0]";"[0,2,1,1,2,0]";0;2;1;1;2;0;0;0;3;1
813.02454;"[0,2,1,1,3,0]-[0]";"[0,2,1,1,3,0]";0;2;1;1;3;0;0;0;3;1
892.98135;"[0,2,1,1,4,0]-[0]";"[0,2,1,1,4,0]";0;2;1;1;4;0;0;0;3;1
615.16467;"[0,2,1,2,0,0]-[0]";"[0,2,1,2,0,0]";0;2;1;2;0;0;0;0;3;1
695.12148;"[0,2,1,2,1,0]-[0]";"[0,2,1,2,1,0]";0;2;1;2;1;0;0;0;3;1
775.07829;"[0,2,1,2,2,0]-[0]";"[0,2,1,2,2,0]";0;2;1;2;2;0;0;0;3;1
855.0351;"[0,2,1,2,3,0]-[0]";"[0,2,1,2,3,0]";0;2;1;2;3;0;0;0;3;1
657.17523;"[0,2,1,3,0,0]-[0]";"[0,2,1,3,0,0]";0;2;1;3;0;0;0;0;3;1
737.13204;"[0,2,1,3,1,0]-[0]";"[0,2,1,3,1,0]";0;2;1;3;1;0;0;0;3;1
817.08885;"[0,2,1,3,2,0]-[0]";"[0,2,1,3,2,0]";0;2;1;3;2;0;0;0;3;1
772.16917;"[0,2,2,0,1,0]-[0]";"[0,2,2,0,1,0]";0;2;2;0;1;0;0;0;4;1
852.12598;"[0,2,2,0,2,0]-[0]";"[0,2,2,0,2,0]";0;2;2;0;2;0;0;0;4;1
932.08279;"[0,2,2,0,3,0]-[0]";"[0,2,2,0,3,0]";0;2;2;0;3;0;0;0;4;1
1012.0396;"[0,2,2,0,4,0]-[0]";"[0,2,2,0,4,0]";0;2;2;0;4;0;0;0;4;1
1091.99641;"[0,2,2,0,5,0]-[0]";"[0,2,2,0,5,0]";0;2;2;0;5;0;0;0;4;1
1171.95322;"[0,2,2,0,6,0]-[0]";"[0,2,2,0,6,0]";0;2;2;0;6;0;0;0;4;1
1251.91003;"[0,2,2,0,7,0]-[0]";"[0,2,2,0,7,0]";0;2;2;0;7;0;0;0;4;1
814.17973;"[0,2,2,1,1,0]-[0]";"[0,2,2,1,1,0]";0;2;2;1;1;0;0;0;4;1
